user_id,email,password_hash,user_name,gender,birthdate,phone_number,created_at
1,ju@example.org,0230430ef30e5fab65404a283c2f2e3909aa162cfc45d219f39924b70e6e422a,박숙자,MALE,1985-04-25,017-207-0980,2024-12-19 10:58:23
2,yeongho85@example.com,0e51201e77ace289ef082143ab0eeccc5a08410e113e4a9d4218e15dc33bfe8a,차현주,FEMALE,2004-02-21,042-511-2369,2020-01-14 14:36:19
3,pji@example.org,1078425915ef88eca6e5fc0a654d555e1ef5200ef03352faedef41b7c2162fd1,노정순,MALE,2004-01-12,063-650-5536,2022-02-02 20:50:57
4,ijiyeong@example.net,33c49bf14983981685ed3a03bb63419aa28e492944f4df7ecc847ff2350fc9af,박종수,MALE,1985-10-22,055-223-2645,2025-03-09 22:53:42
5,seongmyeongsug@example.org,c65347822560a55fd4c7e8b696446d1e67a77bd44181d0fdae735d9dffdf8c5c,박영자,MALE,1986-10-14,041-429-5965,2020-12-02 17:18:45
6,gyeongja66@example.net,5f16ee4829f6d9091d822fad9ee1ebc462f473563f5b43522f8b48630ab3964a,윤지우,MALE,1988-11-14,010-6363-6091,2021-12-24 07:35:01
7,yeongsujin@example.net,dd6a1eec089072e70dda7cefc1abed120e391a02af723eaa4d13e4daef04aadd,임예원,MALE,1988-06-01,044-641-4974,2020-12-01 17:56:56
8,cunja22@example.com,ae6526811b01b1d23a69b8da6db9a4cae732c9422b0d4602556a18387f27afc7,권상훈,MALE,1984-10-29,032-995-6229,2021-12-22 07:09:02
9,yeongsuno@example.org,fb7aaf80e7ec7d62242928e79c145a9ceb61a7d184aa0eda608da5e9f45425a3,이영수,MALE,1994-10-23,063-042-1761,2022-01-21 15:37:54
10,jujeongsig@example.net,fe6cac39c741132ae56b227d3078e5935ad11a9190b3c87d05551aa036651fc8,유영미,MALE,1985-12-14,064-757-6428,2025-05-04 23:19:06
11,hyeonji82@example.com,8cbb3e729844dbcbebc04e8ea27ea022b91e62027522b4b7c4faffef14b488c5,강윤서,MALE,1994-01-13,054-561-2974,2023-06-28 15:20:49
12,yeongsubag@example.com,3a6d29849d62cb976c3eb90fb832350b439a2803f90c3aecbf95ea453c2cdb49,윤춘자,FEMALE,1985-12-06,053-107-5322,2023-07-27 04:51:38
13,jihyeseo@example.net,dafdd9d0227113364e1eb2fe4535d07905d9d9d0c922d3edd2c1e61b24faa6e8,양경수,MALE,1994-01-10,061-212-7568,2025-03-20 04:02:50
14,yeonghwancoe@example.com,984fb064db57d0c1208ba2830ee7c7f6f0fb87f1fc3b10bbd9e6f8bfe198d103,김정웅,MALE,1990-08-07,031-496-1535,2021-01-25 22:28:05
15,yeongsunbag@example.com,e2a53e17b85e624eab7f64da8a42dcc2e049fe480f8f7675d66102682ca634b6,박정자,MALE,1996-09-26,019-936-9563,2024-01-05 02:50:40
16,jeongsugi@example.com,dd9911c5a43ee26e77f138f310a9cac8d9c2e54c839b322b79a3eb5d6887c56a,홍영호,MALE,1995-03-09,070-6811-1585,2024-03-26 23:47:06
17,hgim@example.org,a05d38f86cf66eaaa4ff5220b5ae07a67052369b22969da9d1b6a1cad6940c70,박정자,MALE,1986-10-14,041-097-9291,2023-03-24 20:12:29
